
#1
3,LN-LN001,=".9987",inch,1,0.03,-0.03,OK
4,ANGLE001,="20.0100",deg,20,0.5,-0.5,OK
5,LN-LN002,=".9981",inch,1,0.03,-0.03,OK
6,,,,,,,
7,LN-PT001,="1.8496",inch,1.84,0.01,-0.01,OK
8,LN-LN003,="1.0008",inch,1,0.03,-0.03,OK
9,LN-LN004,="1.0017",inch,1,0.03,-0.03,OK
10,LN-PT002,="1.8455",inch,1.84,0.01,-0.01,OK
11.1,ARC001,=".3076",inch,0,0.31,0,OK
11.2,ARC002,=".3066",inch,0,0.31,0,OK
11.3,ARC003,=".3064",inch,0,0.31,0,OK
11.4,ARC004,=".3065",inch,0,0.31,0,OK
12.1,DIA005,=".5615",inch,0.56,0.01,-0.01,OK
12.2,DIA006,=".5649",inch,0.56,0.01,-0.01,OK
13,DIA004,="4.3999",inch,4.4,0.01,-0.01,OK

#2
3,LN-LN001,="1.0010",inch,1.0000,0.0300,-0.0300,OK,
4,ANGLE001,="20.0700",deg,20.00,0.50,-0.50,OK,
5,LN-LN002,=".9969",inch,1.0000,0.0300,-0.0300,OK,
6,,,,,,,
7,LN-PT001,="1.8475",inch,1.8400,0.0100,-0.0100,OK,
8,LN-LN003,="1.0015",inch,1.0000,0.0300,-0.0300,OK,
9,LN-LN004,="1.0004",inch,1.0000,0.0300,-0.0300,OK,
10,LN-PT002,="1.8456",inch,1.8400,0.0100,-0.0100,OK,
11.1,ARC001,=".3065",inch,0.0000,0.3100,0.0000,OK,
11.2,ARC002,=".3069",inch,0.0000,0.3100,0.0000,OK,
11.3,ARC003,=".3072",inch,0.0000,0.3100,0.0000,OK,
11.4,ARC004,=".3065",inch,0.0000,0.3100,0.0000,OK,
12.1,DIA005,=".5628",inch,0.5600,0.0100,-0.0100,OK,
12.2,DIA006,=".5647",inch,0.5600,0.0100,-0.0100,OK,
13,DIA004,="4.4007",inch,4.4000,0.0100,-0.0100,OK,

#3
3,LN-LN001,="1.0004",inch,1.0000,0.0300,-0.0300,OK,
4,ANGLE001,="19.8700",deg,20.00,0.50,-0.50,OK,
5,LN-LN002,=".9975",inch,1.0000,0.0300,-0.0300,OK,
6,,,,,,,
7,LN-PT001,="1.8467",inch,1.8400,0.0100,-0.0100,OK,
8,LN-LN003,="1.0016",inch,1.0000,0.0300,-0.0300,OK,
9,LN-LN004,="1.0009",inch,1.0000,0.0300,-0.0300,OK,
10,LN-PT002,="1.8466",inch,1.8400,0.0100,-0.0100,OK,
11.1,ARC001,=".3072",inch,0.0000,0.3100,0.0000,OK,
11.2,ARC002,=".3073",inch,0.0000,0.3100,0.0000,OK,
11.3,ARC003,=".3077",inch,0.0000,0.3100,0.0000,OK,
11.4,ARC004,=".3064",inch,0.0000,0.3100,0.0000,OK,
12.1,DIA005,=".5649",inch,0.5600,0.0100,-0.0100,OK,
12.2,DIA006,=".5645",inch,0.5600,0.0100,-0.0100,OK,
13,DIA004,="4.4030",inch,4.4000,0.0100,-0.0100,OK,

